,0
2019-09-14 13:00:00,514.1540225073815
2019-09-14 14:00:00,498.3178357369625
2019-09-14 15:00:00,503.4295128245472
2019-09-14 16:00:00,498.2367048534937
2019-09-14 17:00:00,488.0074876288579
2019-09-14 18:00:00,453.4869239535759
2019-09-14 19:00:00,434.35955120488546
2019-09-14 20:00:00,434.73232567516567
2019-09-14 21:00:00,451.78562010719634
2019-09-14 22:00:00,433.0183538307427
2019-09-14 23:00:00,414.40486339620475
2019-09-15 00:00:00,384.0054694988472
2019-09-15 01:00:00,349.0312609321187
2019-09-15 02:00:00,321.43191668387027
2019-09-15 03:00:00,307.11828290997454
2019-09-15 04:00:00,292.5892903612395
2019-09-15 05:00:00,258.8709339672417
2019-09-15 06:00:00,245.4091142358445
2019-09-15 07:00:00,240.7623174564014
2019-09-15 08:00:00,261.98901686575005
